pattern	genes_matched	activities	pattern_mode	reviewed
carboxymethyl	0		permissive	FALSE
cellobiohydrolase	0		permissive	FALSE
cellobiose	4	cellobiose dehydrogenase	permissive	TRUE
cellobiosidase	0		permissive	FALSE
cellodextrinase	0		permissive	FALSE
cellotetraose	0		permissive	FALSE
cellulase	2	cellulase	strict	TRUE
cellulose	4	lytic cellulose monooxygenase|lytic cellulose monooxygenase (C1-hydroxylating)	strict	TRUE
dehydrogenase	4	cellobiose dehydrogenase	permissive	TRUE
endoglucanase	0		permissive	FALSE
glucan	4	"endo-beta-1,4-glucanase|endo-beta-1,3(4)-glucanase / lichenase-laminarinase|endo-beta-1,4-glucanase (xanthanase)"	permissive	TRUE
glucanase	4	"endo-beta-1,4-glucanase|endo-beta-1,3(4)-glucanase / lichenase-laminarinase|endo-beta-1,4-glucanase (xanthanase)"	permissive	TRUE
glucomannan	0		permissive	FALSE
glucosidase	0		permissive	FALSE
lichenase	1	"endo-beta-1,3(4)-glucanase / lichenase-laminarinase"	permissive	TRUE
lichenin	0		permissive	FALSE
mannan	0		permissive	FALSE
