pattern	genes_matched	activities	pattern_mode	reviewed
endoglucanase	0		permissive	FALSE
glucan	97	"xyloglucan:xyloglucosyl transferase|xyloglucan-specific endo-beta-1,4-glucanase|glucan endo-1,3-beta-D-glucosidase|beta-1,3-glucanosyltransglycosylase|glucan 1,3-betalpha-glucosidase|endo-beta-1,4-glucanase (xanthanase)|endo-1,3(4)-beta-glucanase"	strict	TRUE
glucanase	18	"xyloglucan-specific endo-beta-1,4-glucanase|endo-beta-1,4-glucanase (xanthanase)|endo-1,3(4)-beta-glucanase"	strict	TRUE
glucanotransferase	0		permissive	FALSE
glucans	0		permissive	FALSE
glucosidase	34	"betalpha-glucosidase|glucan endo-1,3-beta-D-glucosidase|glucan 1,3-betalpha-glucosidase"	permissive	TRUE
laminarinase	0		permissive	FALSE
lichenan	0		permissive	FALSE
lichenase	0		permissive	FALSE
lichenin	0		permissive	FALSE
licheninase	0		permissive	FALSE
linkage	0		permissive	FALSE
maltose	0		permissive	FALSE
mixed	0		permissive	FALSE
