pattern	genes_matched	activities	pattern_mode	reviewed
amylase	11	alpha-amylase|isoamylase	permissive	TRUE
amylopectin	0		permissive	FALSE
amylose	0		permissive	FALSE
cyclodextrin	0		permissive	FALSE
cyclomaltodextrin	3	cyclomaltodextrinase	strict	TRUE
glucan	18	"4-alpha-glucanotransferase|1,4-alpha-glucan branching enzyme|glucan 1,4-alphalpha-glucosidase|glucan endo-1,3-beta-D-glucosidase|(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase|4-alpha-D-{(1->4)-alpha-D-glucano}trehalose trehalohydrolase"	permissive	TRUE
glucanotransferase	1	4-alpha-glucanotransferase	permissive	TRUE
glucoamylase	0		permissive	FALSE
glucodextranase	0		permissive	FALSE
glucosidase	30	"alphalpha-glucosidase|glucan 1,4-alphalpha-glucosidase|glucan endo-1,3-beta-D-glucosidase|oligo-1,6-glucosidase|isomaltose a-1,6-glucosidase"	permissive	TRUE
glucosyltransferase	1	maltose alpha-D-glucosyltransferase	permissive	TRUE
granular	0		permissive	FALSE
isoamylase	2	isoamylase	permissive	TRUE
isopullulanase	0		permissive	FALSE
maltogenic	0		permissive	FALSE
maltopentaose	0		permissive	FALSE
maltose	3	"maltose alpha-D-glucosyltransferase|isomaltose a-1,6-glucosidase"	strict	TRUE
maltotetraose	0		permissive	FALSE
maltotriose	0		permissive	FALSE
neopullulanase	0		permissive	FALSE
oligo	1	"oligo-1,6-glucosidase"	permissive	TRUE
oligosyltrehalose	0		permissive	FALSE
pullulanase	10	pullulanase	permissive	TRUE
starch	0		permissive	FALSE
trehalohydrolase	1	4-alpha-D-{(1->4)-alpha-D-glucano}trehalose trehalohydrolase	strict	TRUE
