substrate	pattern	source	reviewed
agar	agarase	auto_derived	False
agar	agarobiose	auto_derived	False
agar	agarose	auto_derived	False
agar	anhydro	auto_derived	False
agar	galactofuranosidase	auto_derived	False
agar	galactosidase	auto_derived	False
agar	neoagaro	auto_derived	False
agar	neoagarose	auto_derived	False
agar	porphyranase	auto_derived	False
alginate	alginate	auto_derived	False
alginate	diversity	auto_derived	False
alginate	glucuronan	auto_derived	False
alginate	guluronate	auto_derived	False
alginate	mannuronate	auto_derived	False
alginate	oligoalginate	auto_derived	False
alginate	polygm	auto_derived	False
alginate	polymg	auto_derived	False
alginate	unspecified	auto_derived	False
arabinogalactan	antigen	auto_derived	False
arabinogalactan	arabinan	auto_derived	False
arabinogalactan	arabinofuranosidase	auto_derived	False
arabinogalactan	arabinogalactan	auto_derived	False
arabinogalactan	arabinogalactans	auto_derived	False
arabinogalactan	arabinopyranosidase	auto_derived	False
arabinogalactan	arabinoxylans	auto_derived	False
arabinogalactan	galactan	auto_derived	False
arabinogalactan	galactanase	auto_derived	False
arabinogalactan	galactofuranosidase	auto_derived	False
arabinogalactan	galactomannan	auto_derived	False
arabinogalactan	galactosidase	auto_derived	False
arabinogalactan	galactoside	auto_derived	False
arabinogalactan	glucuronate	auto_derived	False
arabinogalactan	glucuronidase	auto_derived	False
arabinogalactan	methyl	auto_derived	False
arabinogalactan	rhamnose	auto_derived	False
arabinogalactan	rhamnosidase	auto_derived	False
arabinoxylan	arabinan	auto_derived	False
arabinoxylan	arabinofuranosidase	auto_derived	False
arabinoxylan	arabinogalactans	auto_derived	False
arabinoxylan	arabinopyranosidase	auto_derived	False
arabinoxylan	arabinoxylan	auto_derived	False
arabinoxylan	arabinoxylans	auto_derived	False
arabinoxylan	xylanase	auto_derived	False
arabinoxylan	xylosidase	auto_derived	False
beta_mannan	acetyl	auto_derived	False
beta_mannan	acetylmannan	auto_derived	False
beta_mannan	galactofuranosidase	auto_derived	False
beta_mannan	galactomannan	auto_derived	False
beta_mannan	galactomannans	auto_derived	False
beta_mannan	galactosidase	auto_derived	False
beta_mannan	galactoxyloglucan	auto_derived	False
beta_mannan	glucomannan	auto_derived	False
beta_mannan	glucosamine	auto_derived	False
beta_mannan	glucosidase	auto_derived	False
beta_mannan	glycan	auto_derived	False
beta_mannan	mannan	auto_derived	False
beta_mannan	mannanase	auto_derived	False
beta_mannan	mannans	auto_derived	False
beta_mannan	mannobiohydrolase	auto_derived	False
beta_mannan	mannobiose	auto_derived	False
beta_mannan	mannooligosaccharide	auto_derived	False
beta_mannan	mannooligosaccharides	auto_derived	False
beta_mannan	mannosidase	auto_derived	False
beta_mannan	mannoside	auto_derived	False
beta_mannan	mannosyl	auto_derived	False
beta_mannan	mannosylglucose	auto_derived	False
beta_mannan	oligomannan	auto_derived	False
carrageenan	anhydro	auto_derived	False
carrageenan	carrageenan	auto_derived	False
carrageenan	carrageenans	auto_derived	False
carrageenan	carrageenase	auto_derived	False
carrageenan	galactosidase	auto_derived	False
carrageenan	glucan	auto_derived	False
carrageenan	kappa	auto_derived	False
cellulose	acting	auto_derived	False
cellulose	carboxymethyl	auto_derived	False
cellulose	cellobiohydrolase	auto_derived	False
cellulose	cellobiose	auto_derived	False
cellulose	cellobiosidase	auto_derived	False
cellulose	cellodextrinase	auto_derived	False
cellulose	cellotetraose	auto_derived	False
cellulose	cellulase	auto_derived	False
cellulose	cellulose	auto_derived	False
cellulose	dehydrogenase	auto_derived	False
cellulose	endoglucanase	auto_derived	False
cellulose	glucan	auto_derived	False
cellulose	glucanase	auto_derived	False
cellulose	glucomannan	auto_derived	False
cellulose	glucosidase	auto_derived	False
cellulose	lichenase	auto_derived	False
cellulose	lichenin	auto_derived	False
cellulose	mannan	auto_derived	False
cellulose	substrates	auto_derived	False
chitin	acetylglucosaminidase	auto_derived	False
chitin	acetylhexosaminidase	auto_derived	False
chitin	chitin	auto_derived	False
chitin	chitinase	auto_derived	False
chitin	chitobiose	auto_derived	False
chitin	chitodextrin	auto_derived	False
chitin	chitosan	auto_derived	False
chitin	diacetylchitobiose	auto_derived	False
chitin	favor	auto_derived	False
chitin	glcnac	auto_derived	False
chitin	glucan	auto_derived	False
chitin	glucanosyltransferase	auto_derived	False
chitin	glucosaminidase	auto_derived	False
chitin	glycan	auto_derived	False
chitin	hexosaminidase	auto_derived	False
chitin	nonacetylated	auto_derived	False
chitin	peptidoglycan	auto_derived	False
chondroitin_sulfate	acetylglucosaminidase	auto_derived	False
chondroitin_sulfate	chondroitin	auto_derived	False
chondroitin_sulfate	chondroitinase	auto_derived	False
chondroitin_sulfate	dermatan	auto_derived	False
chondroitin_sulfate	glucuronyl	auto_derived	False
chondroitin_sulfate	glycan	auto_derived	False
chondroitin_sulfate	glycosaminoglycan,	auto_derived	False
chondroitin_sulfate	glycosaminoglycans	auto_derived	False
chondroitin_sulfate	hyaluronan	auto_derived	False
chondroitin_sulfate	hyaluronan,	auto_derived	False
chondroitin_sulfate	iduronidase	auto_derived	False
chondroitin_sulfate	sulfate	auto_derived	False
chondroitin_sulfate	sulfated	auto_derived	False
chondroitin_sulfate	unsaturated	auto_derived	False
fucoidan	brown	auto_derived	False
fucoidan	fucan	auto_derived	False
fucoidan	fucanase	auto_derived	False
fucoidan	fucans	auto_derived	False
fucoidan	fucoidan	auto_derived	False
fucoidan	fucosidase	auto_derived	False
fucoidan	sulfated	auto_derived	False
fucoidan	sulfo	auto_derived	False
glycogen	amylase	auto_derived	False
glycogen	amylo	auto_derived	False
glycogen	amylose	auto_derived	False
glycogen	glucan	auto_derived	False
glycogen	glucanotransferase	auto_derived	False
glycogen	glucodextranase	auto_derived	False
glycogen	glucosidase	auto_derived	False
glycogen	glucosyltransferase	auto_derived	False
glycogen	glycogen	auto_derived	False
glycogen	isoamylase	auto_derived	False
heparan_sulfate	baicalin	auto_derived	False
heparan_sulfate	glucuronidase	auto_derived	False
heparan_sulfate	glycan	auto_derived	False
heparan_sulfate	heparan	auto_derived	False
heparan_sulfate	heparanase	auto_derived	False
heparan_sulfate	heparin	auto_derived	False
heparan_sulfate	iduronidase	auto_derived	False
heparan_sulfate	proteoglycans	auto_derived	False
heparan_sulfate	sulfate	auto_derived	False
hyaluronic_acid	acetylglucosaminidase	auto_derived	False
hyaluronic_acid	chondroitin	auto_derived	False
hyaluronic_acid	glycan	auto_derived	False
hyaluronic_acid	glycosaminoglycan	auto_derived	False
hyaluronic_acid	hyaluronan	auto_derived	False
hyaluronic_acid	hyaluronate	auto_derived	False
hyaluronic_acid	hyaluronidase	auto_derived	False
hyaluronic_acid	hyaluronoglucuronidase	auto_derived	False
inulin	cycloinulo	auto_derived	False
inulin	forming	auto_derived	False
inulin	fructan	auto_derived	False
inulin	fructanotransferase	auto_derived	False
inulin	fructosyltransferase	auto_derived	False
inulin	inulin	auto_derived	False
inulin	inulinase	auto_derived	False
inulin	invertase	auto_derived	False
inulin	levanbiohydrolase	auto_derived	False
laminarin	degrading	auto_derived	False
laminarin	glucan	auto_derived	False
laminarin	glucanase	auto_derived	False
laminarin	glucanotransferase	auto_derived	False
laminarin	glucans	auto_derived	False
laminarin	glucosidase	auto_derived	False
laminarin	laminaribiose	auto_derived	False
laminarin	laminarin	auto_derived	False
laminarin	laminarinase	auto_derived	False
laminarin	lichenase	auto_derived	False
laminarin	lichenin	auto_derived	False
laminarin	licheninase	auto_derived	False
laminarin	pustulan	auto_derived	False
levan	fructan	auto_derived	False
levan	fructanotransferase	auto_derived	False
levan	fructans	auto_derived	False
levan	fructosyltransferase	auto_derived	False
levan	graminan	auto_derived	False
levan	levan	auto_derived	False
levan	levanase	auto_derived	False
levan	levanbiohydrolase	auto_derived	False
levan	levansucrase	auto_derived	False
lichenan	endoglucanase	auto_derived	False
lichenan	glucan	auto_derived	False
lichenan	glucanase	auto_derived	False
lichenan	glucanotransferase	auto_derived	False
lichenan	glucans	auto_derived	False
lichenan	glucosidase	auto_derived	False
lichenan	laminarinase	auto_derived	False
lichenan	lichenan	auto_derived	False
lichenan	lichenase	auto_derived	False
lichenan	lichenin	auto_derived	False
lichenan	licheninase	auto_derived	False
lichenan	linkage	auto_derived	False
lichenan	maltose	auto_derived	False
lichenan	mixed	auto_derived	False
mixed_linkage_glucan	glucan	auto_derived	False
mixed_linkage_glucan	glucanase	auto_derived	False
mixed_linkage_glucan	glucosidase	auto_derived	False
mixed_linkage_glucan	licheninase	auto_derived	False
mixed_linkage_glucan	linkage	auto_derived	False
