palette	hex
sample	#e6194b
sample	#3cb44b
sample	#ffe119
sample	#4363d8
sample	#f58231
sample	#911eb4
sample	#42d4f4
sample	#f032e6
sample	#bfef45
sample	#fabed4
sample	#469990
sample	#9a6324
sample	#fffac8
sample	#800000
sample	#aaffc3
sample	#808000
sample	#ffd8b1
sample	#000075
sample	#a9a9a9
sample	#555555
activity	#e69f00
activity	#56b4e9
activity	#009e73
activity	#daa520
activity	#0072b2
activity	#d55e00
activity	#cc79a7
activity	#000000
activity	#994f00
activity	#006ddb
activity	#ff6db6
activity	#8f4e00
activity	#490092
activity	#b66dff
activity	#24ff24
activity	#ffb6db
activity	#920000
activity	#ffff6d
activity	#004949
activity	#009292
clinker_SusC/TonB-dep.	#2166ac
clinker_SusD-like	#92c5de
clinker_ABC transporter	#4dac26
clinker_MFS transporter	#b8e186
clinker_SSS transporter	#7fbc41
clinker_TF	#d6604d
clinker_STP	#f4a582
clinker_hypothetical	#cccccc
accessory_sulfatase	#8c510a
accessory_deacetylase	#bf812d
accessory_epimerase	#dfc27d
accessory_isomerase	#f6e8c3
accessory_oxidase	#c7eae5
accessory_peroxidase	#80cdc1
